date,status,appeal,address,ward
04/30/19,APPROVED,BOA-903638,4 Melrose Street,Ward 5
04/30/19,APPROVED,BOA-897604,16 Marlborough Street,Ward 5
04/30/19,APPROVED,BOA-193887,248 Newbury Street,Ward 5
04/30/19,APPROVED,BOA-193892,248 Newbury Street,Ward 5
04/30/19,APPROVED,BOA-914298,102 Neponset Avenue,Ward 16
04/30/19,APPROVED,BOA-900693,20 Rich Street,Ward 18
04/30/19,APPROVED,BOA-925117,64 Radcliffe Road,Ward 18
04/30/19,APPROVED,BOA-916798,80-82 Summer Street,Ward 3
04/30/19,APPROVED,BOA-927697,12 Scribner Road,Ward 18
04/30/19,APPROVED,BOA-832215,36 Spring Garden Street,Ward 13
04/30/19,APPROVED,BOA-914494,10-12 Sagamore Street,Ward 13
04/30/19,APPROVED,BOA-900138,191 Talbot Avenue,Ward 14
04/30/19,APPROVED,BOA-918630,1100 VFW Park Way,Ward 20
04/30/19,APPROVED,BOA-915772,130 West Newton Street,Ward 4
04/30/19,APPROVED,BOA-905976,12-12A Wyvern Street,Ward 19
04/30/19,APPROVED,BOA-911937,41 Westminster Street,Ward 18
04/30/19,APPROVED,BOA-918476,161 West Brookline Street,Ward 4
04/30/19,APPROVED,BOA-903904,231-233 West Street,Ward 18
04/30/19,APPROVED,BOA-909589,143-153 Washington Street,Ward 14
04/30/19,DENIED,BOA-897691,571 American Legion Highway,Ward 18
04/30/19,DENIED,BOA-870470,2 Brigham Street,Ward 1
04/30/19,DENIED,BOA-897974,602 Canterbury Street,Ward 18
04/30/19,DENIED,BOA-908171,168 Dana Avenue,Ward 18
04/30/19,DENIED,BOA-912312,30 Dunreath Street,Ward 12
04/30/19,DENIED,BOA-804240,686 East Fifth Street,Ward 6
04/30/19,DENIED,BOA-897118,115 Federal Street,Ward 3
04/30/19,DENIED,BOA-854658,200-202 Ipswich Street,Ward 5
04/30/19,DENIED,BOA-909363,48 Murray Hill Road,Ward 19
04/30/19,DENIED,BOA-872019,46 Sheridan Street,Ward 19
04/30/19,DENIED,BOA-803677,65 Silver Street,Ward 6
04/09/19,APPROVED,BOA-917199,97-115 Beverly Street,Ward 3
04/09/19,APPROVED,BOA-885605,83-87 Bowdoin Street,Ward 15
04/09/19,APPROVED,BOA-884514,120 Brookline Avenue,Ward 5
04/09/19,APPROVED,BOA-923447,26-28 Chilcott Place,Ward 11
04/09/19,APPROVED,BOA-874955,134 Chelsea Street,Ward 1
04/09/19,APPROVED,BOA-862993,67-69 Church Street,Ward 5
04/09/19,APPROVED,BOA-902213,990-996 Dorchester Avenue,Ward 13
04/09/19,APPROVED,BOA-874391,608-610 East Eighth Street,Ward 7
04/09/19,APPROVED,BOA-912147,809 E Broadway,Ward 6
04/09/19,APPROVED,BOA-896628,535 East Fourth Street,Ward 7
04/09/19,APPROVED,BOA-918458,832 East Third Street,Ward 6
04/09/19,APPROVED,BOA-905269,580 East Broadway,Ward 6
04/09/19,APPROVED,BOA-851215,106 Forest Hills Street,Ward 11
04/09/19,APPROVED,BOA-917077,28 Fenway,Ward 4
04/09/19,APPROVED,BOA-877695,191 Geneva Avenue,Ward 14
04/09/19,APPROVED,BOA-848647,82 Glencliff Road,Ward 18
04/09/19,APPROVED,BOA-915928,74-76 Hobson Street,Ward 22
04/09/19,APPROVED,BOA-850023,175 Howard Avenue,Ward 13
04/09/19,APPROVED,BOA-916333,218-220 Havre Street,Ward 1
04/09/19,APPROVED,BOA-865900,79 Jamaica Street,Ward 11
04/09/19,APPROVED,BOA-919882,101 Kilmarnock Street,Ward 21
04/09/19,APPROVED,BOA-859629,60-62 Lambert Avenue,Ward 9
04/09/19,APPROVED,BOA-858537,112 Moore Street,Ward 1
04/09/19,APPROVED,BOA-909655,158 Mount Vernon Street,Ward 5
04/09/19,APPROVED,BOA-923309,15 Maywood Street,Ward 12
04/09/19,APPROVED,BOA-859149,251-253 Meridian Street,Ward 1
04/09/19,APPROVED,BOA-915720,85 Newbury Street,Ward 5
04/09/19,APPROVED,BOA-923522,91 Newbury Street,Ward 5
04/09/19,APPROVED,BOA-923530,91 Newbury Street,Ward 5
04/09/19,APPROVED,BOA-915722,85 Newbury Street,Ward 5
04/09/19,APPROVED,BOA-918834,190 North Beacon Street,Ward 22
04/09/19,APPROVED,BOA-921790,97 Pierce Avenue,Ward 16
04/09/19,APPROVED,BOA-919605,191-201 Sumner Street,Ward 1
04/09/19,APPROVED,BOA-919606,187 Sumner Street,Ward 1
04/09/19,APPROVED,BOA-916151,14 Snow Street,Ward 22
04/09/19,APPROVED,BOA-885364,301 Saratoga Street,Ward 1
04/09/19,APPROVED,BOA-878698,173 Trenton Street,Ward 1
04/09/19,APPROVED,BOA-894508,400-408 West Broadway,Ward 6
04/09/19,APPROVED,BOA-910427,3231 Washington Street,Ward 11
04/09/19,APPROVED,BOA-905355,234 West Newton Street,Ward 4
04/09/19,APPROVED,BOA-906847,202 West Broadway,Ward 6
04/09/19,APPROVED,BOA-909643,213 West Springfield Street,Ward 4
04/09/19,APPROVED,BOA-879009,80 Winthrop Street,Ward 8
04/09/19,APPROVED,BOA-925854,5 Worcester Square,Ward 8
04/09/19,APPROVED,BOA-889396,59 West Walnut Park,Ward 11
04/09/19,DENIED,BOA-909131,25-27 Dorchester Street,Ward 6
04/09/19,DENIED,BOA-894291,62 Fairmount Street,Ward 17
04/09/19,DENIED,BOA-769207,32-34 Tolman Street,Ward 16
04/09/19,DENIED,BOA-764279,121 Beacon Street,Ward 5
04/09/19,DENIED,BOA-897122,115 Federal Street,Ward 3
04/09/19,DENIED,BOA-906285,186 London Street,Ward 1
03/26/19,APPROVED,BOA-906414,89 Antwerp Street,Ward 22
03/26/19,APPROVED,BOA-740260,411 Adams Street,Ward 16
03/26/19,APPROVED,BOA-900973,485 Ashmont Street,Ward 16
03/26/19,APPROVED,BOA-892884,30 Arlington Street,Ward 18
03/26/19,APPROVED,BOA-892893,32 Arlington Street,Ward 18
03/26/19,APPROVED,BOA-872545,208 Bremen Street,Ward 1
03/26/19,APPROVED,BOA-917006,49 Bakersfield Street,Ward 13
03/26/19,APPROVED,BOA-900548,65-67 Border Street,Ward 1
03/26/19,APPROVED,BOA-855748,130-140 Brighton Avenue,Ward 21
03/26/19,APPROVED,BOA-865001,28 Commonwealth Avenue,Ward 5
03/26/19,APPROVED,BOA-893770,401A-405 Centre Street,Ward 19
03/26/19,APPROVED,BOA-855955,11 Chestnut Street,Ward 5
03/26/19,APPROVED,BOA-856175,101 Condor Street,Ward 1
03/26/19,APPROVED,BOA-911272,9 Chelsea Street,Ward 1
03/26/19,APPROVED,BOA-784986,534R Dorchester Avenue,Ward 7
03/26/19,APPROVED,BOA-897316,534-538 Dorchester Avenue,Ward 7
03/26/19,APPROVED,BOA-914351,27 Delmont Street,Ward 16
03/26/19,APPROVED,BOA-888276,1050-1058 Dorchester Avenue,Ward 13
03/26/19,APPROVED,BOA-916778,28 Emerson Street,Ward 6
03/26/19,APPROVED,BOA-911973,22 Embassy Road,Ward 22
03/26/19,APPROVED,BOA-889556,617 East Seventh Street,Ward 7
03/26/19,APPROVED,BOA-921788,12-14 Falkland Street,Ward 22
03/26/19,APPROVED,BOA-921420,62 Fairmount Street,Ward 17
03/26/19,APPROVED,BOA-890949,56 Faywood Avenue,Ward 1
03/26/19,APPROVED,BOA-904509,364 Gallivan Blvd,Ward 16
03/26/19,APPROVED,BOA-909830,132-134 Greaton Road,Ward 20
03/26/19,APPROVED,BOA-888984,84 Granite Avenue,Ward 16
03/26/19,APPROVED,BOA-919270,52 Hereford Street,Ward 5
03/26/19,APPROVED,BOA-878971,60 Humphreys Street,Ward 7
03/26/19,APPROVED,BOA-851286,474 Hyde Park Avenue,Ward 18
03/26/19,APPROVED,BOA-868026,7 Helen Street,Ward 14
03/26/19,APPROVED,BOA-838428,94 Louder's Lane,Ward 19
03/26/19,APPROVED,BOA-888981,114 Milton Street,Ward 16
03/26/19,APPROVED,BOA-826857,92 Maple Street,Ward 12
03/26/19,APPROVED,BOA-914596,47 Morris Street,Ward 1
03/26/19,APPROVED,BOA-885641,78 Mount Vernon Street,Ward 5
03/26/19,APPROVED,BOA-871963,19-21 Monastery Road,Ward 21
03/26/19,APPROVED,BOA-890234,24 Montrose Street,Ward 12
03/26/19,APPROVED,BOA-913173,163 Newbury Street,Ward 5
03/26/19,APPROVED,BOA-904509,400-412 Neponset Avenue,Ward 16
03/26/19,APPROVED,BOA-889512,25 Porter Street,Ward 1
03/26/19,APPROVED,BOA-903630,56 Presentation Road,Ward 22
03/26/19,APPROVED,BOA-909744,11 Ruggles Street,Ward 9
03/26/19,APPROVED,BOA-910434,645 River Street,Ward 18
03/26/19,APPROVED,BOA-881510,8 Rutland Square,Ward 4
03/26/19,APPROVED,BOA-881511,8 Rutland Square,Ward 4
03/26/19,APPROVED,BOA-879022,247 Saratoga Street,Ward 1
03/26/19,APPROVED,BOA-912619,94 Sydney Street,Ward 13
03/26/19,APPROVED,BOA-900724,90 Topliff Street,Ward 15
03/26/19,APPROVED,BOA-915265,8 Tupelo Street,Ward 12
03/26/19,APPROVED,BOA-912810,281 Vermont Street,Ward 20
03/26/19,APPROVED,BOA-837872,167 West Eighth Street,Ward 7
03/26/19,APPROVED,BOA-885091,121 Wellington Hill Street,Ward 14
03/26/19,DENIED,BOA-897247,296 Neponset Avenue,Ward 16
03/26/19,DENIED,BOA-897256,296 Neponset Avenue,Ward 16
03/26/19,DENIED,BOA-818184,7 Parkway Street,Ward 14
03/12/19,APPROVED,BOA-837893,30R Alaric Street,Ward 20
03/12/19,APPROVED,BOA-868442,94 Bunker Hill Street,Ward 2
03/12/19,APPROVED,BOA-860542,31 Bardwell Street,Ward 19
03/12/19,APPROVED,BOA-908997,569 Boylston Street,Ward 5
03/12/19,APPROVED,BOA-917579,349-349A Baker Street,Ward 20
03/12/19,APPROVED,BOA-917588,345-345B Baker Street,Ward 20
03/12/19,APPROVED,BOA-906536,261 Bolton Street,Ward 6
03/12/19,APPROVED,BOA-906007,89-119 Canal Street,Ward 3
03/12/19,APPROVED,BOA-915220,140 Clarendon Street,Ward 4
03/12/19,APPROVED,BOA-851624,30 Claremont Park,Ward 4
03/12/19,APPROVED,BOA-789491,26 Clive Street,Ward 19
03/12/19,APPROVED,BOA-871800,48-50 Corbet Street,Ward 17
03/12/19,APPROVED,BOA-890821,1069-1071 Dorchester Avenue,Ward 13
03/12/19,APPROVED,BOA-835144,870 East Fifth Street,Ward 6
03/12/19,APPROVED,BOA-871519,218 Everett Street,Ward 1
03/12/19,APPROVED,BOA-868034,461 East Sixth Street,Ward 7
03/12/19,APPROVED,BOA-886197,73 Florence Street,Ward 19
03/12/19,APPROVED,BOA-905506,101 Heath Street,Ward 10
03/12/19,APPROVED,BOA-885554,222 Harvard Street,Ward 14
03/12/19,APPROVED,BOA-835524,20 Grimes Street,Ward 6
03/12/19,APPROVED,BOA-796336,435 Geneva Avenue,Ward 17
03/12/19,APPROVED,BOA-881800,650-652 Hyde Park Avenue,Ward 18
03/12/19,APPROVED,BOA-862270,66 Lubec Street,Ward 1
03/12/19,APPROVED,BOA-911969,25-27 Leicester Street,Ward 22
03/12/19,APPROVED,BOA-888447,37 Mill Street,Ward 16
03/12/19,APPROVED,BOA-885724,202 M Street,Ward 7
03/12/19,APPROVED,BOA-896733,151-161 Neponset Avenue,Ward 16
03/12/19,APPROVED,BOA-777098,29 Oak Street,Ward 3
03/12/19,APPROVED,BOA-889510,155 Porter Street,Ward 1
03/12/19,APPROVED,BOA-871649,233 Pond Street,Ward 19
03/12/19,APPROVED,BOA-881770,293 Poplar Street,Ward 18
03/12/19,APPROVED,BOA-889867,17 Parker Street,Ward 2
03/12/19,APPROVED,BOA-762016,88 Rosewood Street,Ward 18
03/12/19,APPROVED,BOA-873826,100 Saint Andrew Road,Ward 1
03/12/19,APPROVED,BOA-863424,22 Shafter Street,Ward 14
03/12/19,APPROVED,BOA-889515,226 Saratoga Street,Ward 1
03/12/19,APPROVED,BOA-864815,2-14 Taber Street,Ward 8
03/12/19,APPROVED,BOA-901760,10 Talbot Avenue,Ward 14
03/12/19,APPROVED,BOA-862161,613-613A Tremont Street,Ward 4
03/12/19,APPROVED,BOA-909608,1-13 Union Street,Ward 3
03/12/19,APPROVED,BOA-885415,19 Union Park,Ward 3
03/12/19,APPROVED,BOA-859195,79 White Street,Ward 1
03/12/19,APPROVED,BOA-859194,81 White Street,Ward 1
03/12/19,APPROVED,BOA-898983,960-960H William T Morrissey BLVD,Ward 16
03/12/19,APPROVED,BOA-904721,21-35 West Second Street,Ward 6
03/12/19,DENIED,BOA-865978,41-43 Alabama Street,Ward 18
03/12/19,DENIED,BOA-906536,261 Bolton Street,Ward 6
03/12/19,DENIED,BOA-865369,18 Burney Street,Ward 10
02/26/19,APPROVED,BOA-896834,246 Athens Street,Ward 6
02/26/19,APPROVED,BOA-872579,234H-236H Bunker Hill Street,Ward 2
02/26/19,APPROVED,BOA-879012,1 Coppersmith Way,Ward 1
02/26/19,APPROVED,BOA-879010,6 Coppersmith Way,Ward 1
02/26/19,APPROVED,BOA-862277,337 Chelsea Street,Ward 1
02/26/19,APPROVED,BOA-889939,310-320 Cambridge Street,Ward 5
02/26/19,APPROVED,BOA-895333,33-35 Covington Street,Ward 7
02/26/19,APPROVED,BOA-892911,27 Dudley Street,Ward 9
02/26/19,APPROVED,BOA-907807,660 East Seventh Street,Ward 6
02/26/19,APPROVED,BOA-874191,61-63 Fowler Street,Ward 14
02/26/19,APPROVED,BOA-874200,65-67 Fowler Street,Ward 14
02/26/19,APPROVED,BOA-831693,53 F Street,Ward 7
02/26/19,APPROVED,BOA-853785,68 Forest Street,Ward 8
02/26/19,APPROVED,BOA-860630,40 Falkland Street,Ward 22
02/26/19,APPROVED,BOA-913590,65 G Street,Ward 7
02/26/19,APPROVED,BOA-833835,6 General William H Devine Way,Ward 7
02/26/19,APPROVED,BOA-902566,38 Guernsey Street,Ward 20
02/26/19,APPROVED,BOA-839661,100-114 Hampden Street,Ward 8
02/26/19,APPROVED,BOA-875174,35 Leyden Street,Ward 1
02/26/19,APPROVED,BOA-893314,36 Lane Park,Ward 22
02/26/19,APPROVED,BOA-879658,63 May Street,Ward 19
02/26/19,APPROVED,BOA-898191,40 Mount Hood Road,Ward 21
02/26/19,APPROVED,BOA-911052,389 Maverick Street,Ward 1
02/26/19,APPROVED,BOA-822528,71 Mozart Street,Ward 10
02/26/19,APPROVED,BOA-884185,2 Mills Street,Ward 12
02/26/19,APPROVED,BOA-908276,872 Morton Street,Ward 17
02/26/19,APPROVED,BOA-899754,260 Newbury Street,Ward 5
02/26/19,APPROVED,BOA-856686,11 Newton Street,Ward 22
02/26/19,APPROVED,BOA-892932,44 North Beacon Street,Ward 21
02/26/19,APPROVED,BOA-912638,253-261 N. Harvard Street,Ward 22
02/26/19,APPROVED,BOA-908548,20 Polk Street,Ward 2
02/26/19,APPROVED,BOA-888128,22R Parker Street,Ward 2
02/26/19,APPROVED,BOA-831956,194-200 Shawmut Avenue,Ward 3
02/26/19,APPROVED,BOA-902821,33-39 S. Huntington Avenue,Ward 10
02/26/19,APPROVED,BOA-897490,64 Shepton Street,Ward 16
02/26/19,APPROVED,BOA-852459,5 Spring Garden Street,Ward 13
02/26/19,APPROVED,BOA-904095,1423-1425 Tremont Street,Ward 9
02/26/19,APPROVED,BOA-904044,47 Thomas Park,Ward 7
02/26/19,APPROVED,BOA-878724,202 West Seventh Street,Ward 7
02/26/19,APPROVED,BOA-876333,70 Winthrop Street,Ward 2
02/26/19,APPROVED,BOA-909980,142 West Eighth Street,Ward 6
02/26/19,APPROVED,BOA-887756,4381-4383 Washington Street,Ward 20
02/26/19,APPROVED,BOA-879146,219-221 Wood Avenue,Ward 18
02/26/19,APPROVED,BOA-874269,80-88 Welles Avenue,Ward 16
02/26/19,APPROVED,BOA-908280,41 Winthrop Street,Ward 12
02/26/19,APPROVED,BOA-904048,11-15 Webster Avenue,Ward 1
02/26/19,APPROVED,BOA-904046,11 Webster Avenue,Ward 1
02/26/19,APPROVED,BOA-904052,9 Webster Avenue,Ward 1
02/26/19,APPROVED,BOA-867200,447 West Fourth Street,Ward 7
02/26/19,APPROVED,BOA-901341,314-330 West Second Street,Ward 6
02/26/19,DENIED,BOA-791506,628-630A Centre Street,Ward 19
02/26/19,DENIED,BOA-734127,58 East Springfield Street,Ward 8
02/26/19,DENIED,BOA-911535,546 East Broadway,Ward 6
02/26/19,DENIED,BOA-870287,18-18G Plain Street,Ward 16
02/26/19,DENIED,BOA-863240,3162 Washington Street,Ward 11
02/05/19,APPROVED,BOA-840518,274 Athens Street,Ward 6
02/05/19,APPROVED,BOA-840519,276 Athens Street,Ward 6
02/05/19,APPROVED,BOA-908076,1120-1130 Boylston Street,Ward 4
02/05/19,APPROVED,BOA-857433,1047 Blue Hill Avenue,Ward 14
02/05/19,APPROVED,BOA-855206,436R Baker Street,Ward 20
02/05/19,APPROVED,BOA-857369,268-274 Friend Street,Ward 3
02/05/19,APPROVED,BOA-892916,495-501 Geneva Avenue,Ward 16
02/05/19,APPROVED,BOA-904465,6 Gannett Street,Ward 12
02/05/19,APPROVED,BOA-899611,10-12 Heathcote Street,Ward 19
02/05/19,APPROVED,BOA-857068,14 Morrow Road,Ward 22
02/05/19,APPROVED,BOA-823802,46 Murray Hill Road,Ward 19
02/05/19,APPROVED,BOA-893682,37 North Beacon Street,Ward 22
02/05/19,APPROVED,BOA-874670,10 O Street,Ward 6
02/05/19,APPROVED,BOA-893683,2 Sinclair Road,Ward 22
02/05/19,APPROVED,BOA-863408,28 Upton Street,Ward 9
02/05/19,APPROVED,BOA-863406,28 Upton Street,Ward 9
02/05/19,APPROVED,BOA-896003,211 West Springfield Street,Ward 4
02/05/19,APPROVED,BOA-901357,77C Warren Street,Ward 21
02/05/19,APPROVED,BOA-892905,27 Ward Street,Ward 7
02/05/19,APPROVED,BOA-897046,478 Western Avenue,Ward 22
02/05/19,APPROVED,BOA-754552,34-36 Williams Avenue,Ward 18
02/05/19,APPROVED,BOA-754553,38 Williams Avenue,Ward 18
02/05/19,DENIED,BOA-678322,90-102 Tenean Street,Ward 16
02/05/19,DENIED,BOA-853035,8 Centre Terrace,Ward 20
02/05/19,DENIED,BOA-833265,194-198 Bunker Hill Street,Ward 2
01/29/19,APPROVED,BOA-885651,55 Avalon Road,Ward 20
01/29/19,APPROVED,BOA-893323,70 Brent Street,Ward 16
01/29/19,APPROVED,BOA-886336,177 Beech Street,Ward 20
01/29/19,APPROVED,BOA-868628,111 Belle Avenue,Ward 20
01/29/19,APPROVED,BOA-896200,39 Crockett Avenue,Ward 16
01/29/19,APPROVED,BOA-871146,1763 Commonwealth Avenue,Ward 21
01/29/19,APPROVED,BOA-872945,55 Dwinnell Street,Ward 20
01/29/19,APPROVED,BOA-838017,4-6 Esmond Street,Ward 14
01/29/19,APPROVED,BOA-893700,883 East Fourth Street,Ward 6
01/29/19,APPROVED,BOA-893699,881 East Fourth Street,Ward 6
01/29/19,APPROVED,BOA-858186,109 Glenway Street,Ward 14
01/29/19,APPROVED,BOA-828541,67-93 Kingston Street,Ward 3
01/29/19,APPROVED,BOA-882203,15-15A Kelly Court,Ward 22
01/29/19,APPROVED,BOA-874758,93 Lonsdale Street,Ward 16
01/29/19,APPROVED,BOA-804148,12 Lonsdale Street,Ward 16
01/29/19,APPROVED,BOA-898248,13 Mystic Street,Ward 2
01/29/19,APPROVED,BOA-823636,141-145 Norfolk Street,Ward 17
01/29/19,APPROVED,BOA-856626,208 Neponset Valley Parkway,Ward 18
01/29/19,APPROVED,BOA-873501,62 Perkins Street,Ward 2
01/29/19,APPROVED,BOA-843952,1-3 Park Place,Ward 19
01/29/19,APPROVED,BOA-869995,222 Roslindale Avenue,Ward 20
01/29/19,APPROVED,BOA-892074,33-35 Ridgemont Street,Ward 21
01/29/19,APPROVED,BOA-876476,21 South Russell Street,Ward 3
01/29/19,APPROVED,BOA-865897,11 Swan Street,Ward 20
01/29/19,APPROVED,BOA-882051,26-28 Thane Street,Ward 17
01/29/19,APPROVED,BOA-898589,14 Tuttle Street,Ward 13
01/29/19,APPROVED,BOA-901253,78 Washington Street,Ward 2
01/29/19,APPROVED,BOA-885888,99-101 Waldeck Street,Ward 17
01/29/19,APPROVED,BOA-885891,95-97 Waldeck Street,Ward 17
01/29/19,APPROVED,BOA-885892,91-93 Waldeck Street,Ward 17
01/29/19,APPROVED,BOA-616440,31 Weld Hill Street,Ward 19
01/29/19,APPROVED,BOA-861576,413 West Fourth Street,Ward 7
01/29/19,APPROVED,BOA-873789,18 Yarmouth Street,Ward 4
01/29/19,DENIED,BOA-890026,753 East Broadway,Ward 6
01/29/19,DENIED,BOA-890860,206-208 Harold Street,Ward 12
01/29/19,DENIED,BOA-861575,413 West Fourth Street,Ward 7
01/15/19,APPROVED,BOA-876216,148 Athens Street,Ward 6
01/15/19,APPROVED,BOA-819529,48-62 Brookline Avenue,Ward 5
01/15/19,APPROVED,BOA-888082,1301-1305 Boylston Street,Ward 5
01/15/19,APPROVED,BOA-891912,1151-1155 Blue Hill Avenue,Ward 14
01/15/19,APPROVED,BOA-781861,32-46 Brooks Street,Ward 22
01/15/19,APPROVED,BOA-898436,24 Cambridge Street,Ward 2
01/15/19,APPROVED,BOA-857595,34 Church Street,Ward 15
01/15/19,APPROVED,BOA-890357,659 Centre Street,Ward 19
01/15/19,APPROVED,BOA-861040,388-388B Dorchester Street,Ward 7
01/15/19,APPROVED,BOA-825547,49-51 Dustin Street,Ward 21
01/15/19,APPROVED,BOA-879019,4 Everett Place,Ward 1
01/15/19,APPROVED,BOA-879018,6 Everett Place,Ward 1
01/15/19,APPROVED,BOA-889359,54 East Springfield Street,Ward 8
01/15/19,APPROVED,BOA-872527,409 East Seventh Street,Ward 7
01/15/19,APPROVED,BOA-900216,593R-593 East Sixth Street,Ward 7
01/15/19,APPROVED,BOA-885363,38 Englewood Avenue,Ward 1
01/15/19,APPROVED,BOA-872523,411 East Seventh Street,Ward 7
01/15/19,APPROVED,BOA-838951,744-746 East Broadway,Ward 6
01/15/19,APPROVED,BOA-872531,409 East Seventh Street,Ward 7
01/15/19,APPROVED,BOA-886766,66 Falcon Street,Ward 1
01/15/19,APPROVED,BOA-894224,66 Falcon Street,Ward 1
01/15/19,APPROVED,BOA-855789,15 Fenton Street,Ward 15
01/15/19,APPROVED,BOA-856534,26 Glide Street,Ward 16
01/15/19,APPROVED,BOA-867103,276-282 Hanover Street,Ward 3
01/15/19,APPROVED,BOA-891713,198 Hanover Street,Ward 3
01/15/19,APPROVED,BOA-829747,198 Hanover Street,Ward 3
01/15/19,APPROVED,BOA-858894,44-46 Hyde Park Avenue,Ward 19
01/15/19,APPROVED,BOA-818500,375 Hyde Park Avenue,Ward 19
01/15/19,APPROVED,BOA-860197,141 I Street,Ward 6
01/15/19,APPROVED,BOA-881796,6 Kemble Place,Ward 6
01/15/19,APPROVED,BOA-895155,150 Kneeland Street,Ward 3
01/15/19,APPROVED,BOA-864000,11 Leniston Street,Ward 20
01/15/19,APPROVED,BOA-872312,574-576 Lagrange Street,Ward 20
01/15/19,APPROVED,BOA-821726,74A-74 Lexington Street,Ward 1
01/15/19,APPROVED,BOA-881055,126 Lexington Street,Ward 1
01/15/19,APPROVED,BOA-894294,77 Lyndhurst Street,Ward 17
01/15/19,APPROVED,BOA-849594,80 Marion Street,Ward 1
01/15/19,APPROVED,BOA-878021,18 Mount Vernon Street,Ward 7
01/15/19,APPROVED,BOA-876430,51 Manor Street,Ward 16
01/15/19,APPROVED,BOA-881681,20 Manthorne Street,Ward 20
01/15/19,APPROVED,BOA-883702,39-41 North Margin Street,Ward 3
01/15/19,APPROVED,BOA-895479,255 Newbury Street,Ward 5
01/15/19,APPROVED,BOA-849600,279 North Street,Ward 3
01/15/19,APPROVED,BOA-844735,69 Preble Street,Ward 7
01/15/19,APPROVED,BOA-799753,20 Princeton Street,Ward 1
01/15/19,APPROVED,BOA-871140,3-7 Poplar Street,Ward 20
01/15/19,APPROVED,BOA-829615,610 Rutherford Avenue,Ward 2
01/15/19,APPROVED,BOA-887661,7 Saco Street,Ward 16
01/15/19,APPROVED,BOA-890701,656 Saratoga Street,Ward 1
01/15/19,APPROVED,BOA-835821,106 Saratoga Street,Ward 1
01/15/19,APPROVED,BOA-850054,36 Shepard Street,Ward 22
01/15/19,APPROVED,BOA-857422,42 Thomas Park,Ward 7
01/15/19,APPROVED,BOA-818377,111 Terrace Street,Ward 10
01/15/19,APPROVED,BOA-850596,24 Union Park,Ward 3
01/15/19,APPROVED,BOA-862937,205 West Newton Street,Ward 4
01/15/19,APPROVED,BOA-873270,105 West Third Street,Ward 6
01/15/19,APPROVED,BOA-820537,20-23 William C Kelly Square,Ward 1
01/15/19,DENIED,BOA-892970,91A Baker Street,Ward 20
01/15/19,DENIED,BOA-822030,212 Chelsea Street,Ward 1
01/15/19,DENIED,BOA-864614,118-120 Granite Avenue,Ward 16
01/15/19,DENIED,BOA-865287,54 High Street,Ward 2
01/15/19,DENIED,BOA-794211,19 Inwood Street,Ward 15
12/18/18,APPROVED,BOA-818164,121-123 Beach Street,Ward 03
12/18/18,APPROVED,BOA-793337,10 Bloomington Street,Ward 16
12/18/18,APPROVED,BOA-842247,75-77 Cedar Street,Ward 11
12/18/18,APPROVED,BOA-885728,86-86A Chestnut Street,Ward 05
12/18/18,APPROVED,BOA-893387,1662 Columbia Road,Ward 07
12/18/18,APPROVED,BOA-895596,2193-2201 Commonwealth Avenue,Ward 22
12/18/18,APPROVED,BOA-764151,881 East Second Street,Ward 06
12/18/18,APPROVED,BOA-825827,63 Falcon Street,Ward 01
12/18/18,APPROVED,BOA-815385,578 Gallivan Blvd,Ward 16
12/18/18,APPROVED,BOA-858345,54 Halliday Street,Ward 19
12/18/18,APPROVED,BOA-835790,57 Hemman Street,Ward 18
12/18/18,APPROVED,BOA-821722,59 Hemman Street,Ward 18
12/18/18,APPROVED,BOA-859624,190 High Street,Ward 03
12/18/18,APPROVED,BOA-890951,45 Houghton Street,Ward 16
12/18/18,APPROVED,BOA-876064,240 Lincoln Street,Ward 22
12/18/18,APPROVED,BOA-796556,9 Mansfield Street,Ward 22
12/18/18,APPROVED,BOA-879862,60-62 Mapleton Street,Ward 22
12/18/18,APPROVED,BOA-854014,903-909 Massachusetts Avenue,Ward 08
12/18/18,APPROVED,BOA-859171,1246-1250 Massachusetts Avenue,Ward 07
12/18/18,APPROVED,BOA-865770,23 Metropolitan Avenue,Ward 20
12/18/18,APPROVED,BOA-851770,110 Moore Street,Ward 01
12/18/18,APPROVED,BOA-830090,4 Mystic Street,Ward 02
12/18/18,APPROVED,BOA-873206,26 Mystic Street,Ward 02
12/18/18,APPROVED,BOA-850178,235 Northampton Street,Ward 09
12/18/18,APPROVED,BOA-886105,17-21 Poplar Street,Ward 20
12/18/18,APPROVED,BOA-859604,522-530 River Street,Ward 18
12/18/18,APPROVED,BOA-856234,43 Rockland Street,Ward 12
12/18/18,APPROVED,BOA-846743,5 Rutland Square,Ward 04
12/18/18,APPROVED,BOA-859489,40-42 Terrace Street,Ward 10
12/18/18,APPROVED,BOA-859491,132 Terrace Street,Ward 10
12/18/18,APPROVED,BOA-851232,43 Trapelo Street,Ward 22
12/18/18,APPROVED,BOA-874413,77 Warren Avenue,Ward 04
12/18/18,APPROVED,BOA-878219,215 West Canton Street,Ward 04
12/18/18,APPROVED,BOA-884323,41-43 Westland Avenue,Ward 04
12/18/18,APPROVED,BOA-859233,65 Winthrop Street,Ward 02
12/18/18,DENIED,BOA-693386,13 Sagamore Street,Ward 13
12/18/18,DENIED,BOA-792891,111 West Street,Ward 18
12/11/18,APPROVED,BOA-848567,398 Bremen Street,Ward 1
