date,status,appeal,address,ward
08/13/19,DENIED,BOA-904399,37-39 Royal Street,Ward 22
08/13/19,DENIED,BOA-953863,205 Webster Street,Ward 1
07/30/19,APPROVED,BOA-947380,324-330 Bunker Hill Avenue,Ward 2
07/30/19,APPROVED,BOA-955542,194 Bellevue Street,Ward 20
07/30/19,APPROVED,BOA-921523,353 Baker Street,Ward 20
07/30/19,APPROVED,BOA-941174,7 Bryant Road,Ward 20
07/30/19,APPROVED,BOA-927273,133 Beacon Street,Ward 5
07/30/19,APPROVED,BOA-923297,24 Bellamy Street,Ward 22
07/30/19,APPROVED,BOA-934366,16 Cerdan Avenue,Ward 20
07/30/19,APPROVED,BOA-950630,82 Cummins Highway,Ward 19
07/30/19,APPROVED,BOA-940480,8 Cypress Street,Ward 20
07/30/19,APPROVED,BOA-952207,6 Cedarcrest Lane,Ward 20
07/30/19,APPROVED,BOA-935781,33-59 Congress Street,Ward 3
07/30/19,APPROVED,BOA-908555,290 Commercial Street,Ward 3
07/30/19,APPROVED,BOA-951806,83 Centre Street,Ward 17
07/30/19,APPROVED,BOA-928966,17 Chestnut Avenue,Ward 10
07/30/19,APPROVED,BOA-902135,3 Dorset Street,Ward 7
07/30/19,APPROVED,BOA-936456,258-262 Dudley Street,Ward 8
07/30/19,APPROVED,BOA-928023,326 Dorchester Street,Ward 7
07/30/19,APPROVED,BOA-929699,744-748 Dudley Street,Ward 7
07/30/19,APPROVED,BOA-926108,27 Dwight Street,Ward 3
07/30/19,APPROVED,BOA-954611,722 East Fourth Street,Ward 6
07/30/19,APPROVED,BOA-935393,741 East Broadway,Ward 6
07/30/19,APPROVED,BOA-942121,335A-335 E Street,Ward 6
07/30/19,APPROVED,BOA-892543,616-618 East Eighth Street,Ward 7
07/30/19,APPROVED,BOA-821302,22 Edison Green,Ward 13
07/30/19,APPROVED,BOA-810158,25 Everett Street,Ward 1
07/30/19,APPROVED,BOA-931471,47 Emerson Street,Ward 6
07/30/19,APPROVED,BOA-939687,21 Edna Road,Ward 16
07/30/19,APPROVED,BOA-928030,20 Follen Street,Ward 4
07/30/19,APPROVED,BOA-874938,197-201 Green Street,Ward 11
07/30/19,APPROVED,BOA-962845,38 Green Street,Ward 2
07/30/19,APPROVED,BOA-915460,71-73 Gainsborough Street,Ward 4
07/30/19,APPROVED,BOA-906215,41 Gladstone Street,Ward 1
07/30/19,APPROVED,BOA-921284,77-83 Hancock Street,Ward 15
07/30/19,APPROVED,BOA-900554,216 Havre Street,Ward 1
07/30/19,APPROVED,BOA-938001,4-8 Lakeside Avenue,Ward 18
07/30/19,APPROVED,BOA-953013,184 Milton Street,Ward 16
07/30/19,APPROVED,BOA-821297,10 Midland Street,Ward 13
07/30/19,APPROVED,BOA-923819,1 Maple Street,Ward 12
07/30/19,APPROVED,BOA-923818,1 Maple Street,Ward 12
07/30/19,APPROVED,BOA-943624,118 Marcella Street,Ward 11
07/30/19,APPROVED,BOA-882063,181-183 North Washington Street,Ward 3
07/30/19,APPROVED,BOA-932467,85 Pinckney Street,Ward 5
07/30/19,APPROVED,BOA-937986,50 Putnam Street,Ward 1
07/30/19,APPROVED,BOA-927969,1 Peabody Square,Ward 16
07/30/19,APPROVED,BOA-955733,95 Prescott Street,Ward 1
07/30/19,APPROVED,BOA-929574,49 Rogers Street,Ward 7
07/30/19,APPROVED,BOA-852419,48-50 Salem Street,Ward 3
07/30/19,APPROVED,BOA-945127,164-170 Sumner Street,Ward 1
07/30/19,APPROVED,BOA-942790,2 Starling Street,Ward 20
07/30/19,APPROVED,BOA-942791,3 Starling Street,Ward 20
07/30/19,APPROVED,BOA-942793,4 Starling Street,Ward 20
07/30/19,APPROVED,BOA-942794,5 Starling Street,Ward 20
07/30/19,APPROVED,BOA-942795,6 Starling Street,Ward 20
07/30/19,APPROVED,BOA-942799,9 Starling Street,Ward 20
07/30/19,APPROVED,BOA-942806,10 Starling Street,Ward 20
07/30/19,APPROVED,BOA-942809,12 Starling Street,Ward 20
07/30/19,APPROVED,BOA-942808,11 Starling Street,Ward 20
07/30/19,APPROVED,BOA-942811,13 Starling Street,Ward 20
07/30/19,APPROVED,BOA-942812,14 Starling Street,Ward 20
07/30/19,APPROVED,BOA-942813,15 Starling Street,Ward 20
07/30/19,APPROVED,BOA-942814,16 Starling Street,Ward 20
07/30/19,APPROVED,BOA-942815,17 Starling Street,Ward 20
07/30/19,APPROVED,BOA-942797,7 Starling Street,Ward 20
07/30/19,APPROVED,BOA-942798,8 Starling Street,Ward 20
07/30/19,APPROVED,BOA-942824,12 Toucan Road,Ward 20
07/30/19,APPROVED,BOA-942825,14 Toucan Road,Ward 20
07/30/19,APPROVED,BOA-942823,10 Tuscan Road,Ward 20
07/30/19,APPROVED,BOA-942816,2 Toucan Road,Ward 20
07/30/19,APPROVED,BOA-942818,4 Toucan Road,Ward 20
07/30/19,APPROVED,BOA-942819,6 Toucan Road,Ward 20
07/30/19,APPROVED,BOA-942821,8 Toucan Road,Ward 20
07/30/19,APPROVED,BOA-945795,6 Temple Terrrace,Ward 20
07/30/19,APPROVED,BOA-948360,44 Thomas Park,Ward 7
07/30/19,APPROVED,BOA-916848,1545 VFW Parkway,Ward 20
07/30/19,APPROVED,BOA-916852,1555 VFW Parkway,Ward 20
07/30/19,APPROVED,BOA-948411,15 Vicksburg Street,Ward 6
07/30/19,APPROVED,BOA-894695,158 West Canton Street,Ward 4
07/30/19,APPROVED,BOA-933749,1230-1264 Washington Street,Ward 3
07/30/19,APPROVED,BOA-900556,66 Wordsworth Street,Ward 1
07/30/19,APPROVED,BOA-955275,32 Woodard Road,Ward 20
07/30/19,APPROVED,BOA-938508,101 Westmoor Road,Ward 20
07/30/19,DENIED,BOA-921683,34hf Beacon Street,Ward 5
07/30/19,DENIED,BOA-821295,40 Harvest Street,Ward 7
07/30/19,DENIED,BOA-889104,306 K Street,Ward 6
07/30/19,DENIED,BOA-845481,64-66 Salem Street,Ward 3
07/30/19,DENIED,BOA-863415,141 West Second Street,Ward 6
07/09/19,APPROVED,BOA-939076,900 Beacon Street,Ward 21
07/09/19,APPROVED,BOA-899705,54 Bateman Street,Ward 18
07/09/19,APPROVED,BOA-946143,379-381 Blue Hill Avenue,Ward 12
07/09/19,APPROVED,BOA-897293,32 Blaine Street,Ward 22
07/09/19,APPROVED,BOA-874954,303-305 Bennington Street,Ward 1
07/09/19,APPROVED,BOA-763614,7 Cleveland Street,Ward 12
07/09/19,APPROVED,BOA-925189,126 D Street,Ward 6
07/09/19,APPROVED,BOA-930460,499 East Sixth Street,Ward 7
07/09/19,APPROVED,BOA-923926,854 East Broadway,Ward 6
07/09/19,APPROVED,BOA-937270,650 East Seventh Street,Ward 6
07/09/19,APPROVED,BOA-866583,560 East Fifth Street,Ward 6
07/09/19,APPROVED,BOA-928743,73 Ellington Street,Ward 14
07/09/19,APPROVED,BOA-928739,71 Ellington Street,Ward 14
07/09/19,APPROVED,BOA-931868,25 Henshaw Street,Ward 22
07/09/19,APPROVED,BOA-913796,86-88 Howland Street,Ward 12
07/09/19,APPROVED,BOA-931406,223 London Street,Ward 1
07/09/19,APPROVED,BOA-939082,25 Monument Avenue,Ward 2
07/09/19,APPROVED,BOA-909790,33 Mayfield Street,Ward 13
07/09/19,APPROVED,BOA-914030,5 Parkway Street,Ward 14
07/09/19,APPROVED,BOA-914035,7 Parkway Street,Ward 14
07/09/19,APPROVED,BOA-910016,17 Standard Street,Ward 18
07/09/19,APPROVED,BOA-835792,3-5 South Whitney Street,Ward 10
07/09/19,APPROVED,BOA-897036,209-213 Tudor Street,Ward 7
07/09/19,APPROVED,BOA-940453,3850 Washington Street,Ward 19
07/09/19,APPROVED,BOA-891508,271 West Fifth Street,Ward 7
07/09/19,APPROVED,BOA-891497,271 West Fifth Street,Ward 7
07/09/19,APPROVED,BOA-937722,49 Ward Street,Ward 7
07/09/19,APPROVED,BOA-763639,37 Winthrop Street,Ward 12
07/09/19,APPROVED,BOA-897041,204 West Seventh Street,Ward 7
07/09/19,DENIED,BOA-928764,71 Ellington Street,Ward 14
07/09/19,DENIED,BOA-928770,73 Ellington Street,Ward 14
06/25/19,APPROVED,BOA-945581,14 Alliston Street,Ward 2
06/25/19,APPROVED,BOA-945721,244-246 Bowdoin Street,Ward 15
06/25/19,APPROVED,BOA-918868,80 Cottage Street,Ward 1
06/25/19,APPROVED,BOA-927134,305 Corey Street,Ward 20
06/25/19,APPROVED,BOA-945693,71 Call Street,Ward 11
06/25/19,APPROVED,BOA-945723,73-73A Call Street,Ward 11
06/25/19,APPROVED,BOA-945726,77-79 Call Street,Ward 11
06/25/19,APPROVED,BOA-929446,35 Concord Square,Ward 4
06/25/19,APPROVED,BOA-945700,137 Carolina Avenue,Ward 11
06/25/19,APPROVED,BOA-945917,1203-1211 Dorchester Avenue,Ward 15
06/25/19,APPROVED,BOA-945894,1213-1219 Dorchester Avenue,Ward 15
06/25/19,APPROVED,BOA-866356,806 East Third Street,Ward 6
06/25/19,APPROVED,BOA-918312,35 Ellington Street,Ward 14
06/25/19,APPROVED,BOA-926131,118 Elm Street,Ward 2
06/25/19,APPROVED,BOA-941393,25 Gerrish Street,Ward 22
06/25/19,APPROVED,BOA-941394,27 Gerrish Street,Ward 22
06/25/19,APPROVED,BOA-935705,993-997 Hyde Park Avenue,Ward 18
06/25/19,APPROVED,BOA-945890,244-250 Hancock Street,Ward 15
06/25/19,APPROVED,BOA-849374,112 Howland Street,Ward 12
06/25/19,APPROVED,BOA-942137,3 Lawnwood Place,Ward 2
06/25/19,APPROVED,BOA-900189,27 Leedsville Street,Ward 15
06/25/19,APPROVED,BOA-932813,7 Maple Lane,Ward 20
06/25/19,APPROVED,BOA-941665,31 Maxfield Street,Ward 20
06/25/19,APPROVED,BOA-942597,10 Mariposa Street,Ward 18
06/25/19,APPROVED,BOA-939818,49 Metropolitan Avenue,Ward 18
06/25/19,APPROVED,BOA-931682,4 Otis Place,Ward 5
06/25/19,APPROVED,BOA-931512,22 Oak Street,Ward 2
06/25/19,APPROVED,BOA-947918,56 Presentation Road,Ward 22
06/25/19,APPROVED,BOA-945893,160 Pleasant Street,Ward 15
06/25/19,APPROVED,BOA-932424,160 Russett Road,Ward 20
06/25/19,APPROVED,BOA-922327,79-81 Spring Park Avenue,Ward 19
06/25/19,APPROVED,BOA-918229,2 Snelling Place,Ward 3
06/25/19,APPROVED,BOA-919099,145 Theodore Parker Road,Ward 17
06/25/19,APPROVED,BOA-940800,24 Trull Street,Ward 15
06/25/19,APPROVED,BOA-950825,171 West Brookline Street,Ward 4
06/25/19,APPROVED,BOA-934096,274 West Fifth Street,Ward 7
06/25/19,APPROVED,BOA-944280,416-418 West Broadway,Ward 6
06/25/19,APPROVED,BOA-893819,761 Washington Street,Ward 17
06/11/19,APPROVED,BOA-913511,213 Albany Street,Ward 3
06/11/19,APPROVED,BOA-851400,217 Albany Street,Ward 3
06/11/19,APPROVED,BOA-878967,11 Adams Street,Ward 15
06/11/19,APPROVED,BOA-926367,94 Beacon Street,Ward 5
06/11/19,APPROVED,BOA-911494,91A Baker Street,Ward 20
06/11/19,APPROVED,BOA-848024,109-117A Blue Hill Avenue,Ward 12
06/11/19,APPROVED,BOA-882215,111 B Street,Ward 6
06/11/19,APPROVED,BOA-784573,107 Buttonwood Street,Ward 7
06/11/19,APPROVED,BOA-920147,216 Brooks Street,Ward 1
06/11/19,APPROVED,BOA-900553,74-76 Brooks Street,Ward 1
06/11/19,APPROVED,BOA-935353,64-70 Broad Street,Ward 3
06/11/19,APPROVED,BOA-916236,198 Byron Street,Ward 1
06/11/19,APPROVED,BOA-906217,181 Bennington Street,Ward 1
06/11/19,APPROVED,BOA-892294,7 Cherokee Street,Ward 10
06/11/19,APPROVED,BOA-924131,11 Clare Avenue,Ward 18
06/11/19,APPROVED,BOA-920781,47 Cummins Highway,Ward 19
06/11/19,APPROVED,BOA-931961,122 Commonwealth Avenue,Ward 5
06/11/19,APPROVED,BOA-944212,1431 Centre Street,Ward 20
06/11/19,APPROVED,BOA-904387,123-125 Centre Street,Ward 16
06/11/19,APPROVED,BOA-921085,52 Cohasset Street,Ward 20
06/11/19,APPROVED,BOA-914671,319-329 Centre Street,Ward 10
06/11/19,APPROVED,BOA-918232,197 Condor Street,Ward 1
06/11/19,APPROVED,BOA-878714,72 Dresser Street,Ward 6
06/11/19,APPROVED,BOA-938927,1876-1876A Dorchester Avenue,Ward 16
06/11/19,APPROVED,BOA-926161,1970 Dorchester Avenue,Ward 16
06/11/19,APPROVED,BOA-923261,1674-1680 Dorchester Avenue,Ward 16
06/11/19,APPROVED,BOA-825727,1078-1082 Dorchester Avenue,Ward 13
06/11/19,APPROVED,BOA-917828,24 Durant Street,Ward 20
06/11/19,APPROVED,BOA-920465,19 Dartmouth Street,Ward 4
06/11/19,APPROVED,BOA-931125,1854 Dorchester Avenue,Ward 16
06/11/19,APPROVED,BOA-904945,1167 Dorchester Avenue,Ward 15
06/11/19,APPROVED,BOA-897172,509 East Fifth Street,Ward 6
06/11/19,APPROVED,BOA-898586,509R East Fifth Street,Ward 6
06/11/19,APPROVED,BOA-915430,34 Edgemere Road,Ward 20
06/11/19,APPROVED,BOA-918718,93 Ellington Street,Ward 14
06/11/19,APPROVED,BOA-918720,95 Ellington Street,Ward 14
